amenity:hospital,amenity:clinic,amenity:pharmacy,healthcare:doctor,healthcare:centre,amenity:dentist,amenity:nursing_home,building,amenity:school,amenity:place_of_worship,County
0,0,0,0,0,0,0,2,2,0,Garissa
1,0,0,0,0,0,0,35,5,3,Uasin Gishu
0,0,0,0,0,0,0,27,0,0,Kisii
0,0,0,0,0,0,0,0,0,0,Kisii
0,0,0,0,0,0,0,0,0,0,Garissa
0,0,0,0,0,0,0,10585,2,0,Garissa
3,1,2,0,0,0,0,6218,2,2,Garissa
0,0,0,0,0,0,0,267,6,0,Kiambu
1,0,0,0,0,0,0,1136,0,0,Kakamega
0,0,0,0,0,0,0,3232,0,0,Garissa
0,0,0,0,0,0,0,1,0,0,Kitui
7,0,0,0,0,1,0,967,3,5,Uasin Gishu
0,0,0,0,0,0,0,36,5,0,Kiambu
0,0,0,0,0,0,0,332,2,0,Kiambu
0,0,0,0,0,0,0,0,0,0,Siaya
1,0,0,0,0,0,0,5552,8,8,Turkana
0,0,0,0,0,0,0,152,0,0,Embu
4,0,0,0,0,0,0,3253,1,1,Migori
2,0,0,0,0,0,0,4690,3,0,Isiolo
1,0,0,0,0,0,0,105,5,1,Elegeyo-Marakwet
0,0,0,0,0,0,0,0,0,0,Kisii
2,1,0,0,0,0,0,5693,17,13,Nairobi
3,0,0,0,0,0,0,866,5,1,Nyeri
15,23,18,0,0,0,0,14910,152,108,Nairobi
0,0,0,0,0,0,0,0,0,0,Kilifi
2,0,1,0,0,0,0,1852,8,5,Kiambu
2,1,0,0,0,0,0,811,4,1,Mombasa
0,0,0,0,0,0,0,604,2,1,Kitui
13,15,16,0,0,1,0,4641,74,30,Nairobi
5,3,3,0,0,0,0,1863,10,3,Baringo
0,0,0,0,0,0,0,0,0,0,Baringo
0,0,0,0,0,0,0,2912,0,0,Nakuru
0,0,0,0,0,0,0,1361,0,0,Homa Bay
0,0,0,0,0,0,0,261,0,0,West Pokot
7,0,1,0,0,1,0,462,8,11,Kiambu
0,0,0,0,0,0,0,0,0,0,Vihiga
2,0,0,0,0,0,0,369,1,0,Kajiado
2,0,0,0,0,0,0,2289,2,3,Kakamega
0,5,9,0,0,0,0,6555,12,19,Turkana
1,0,0,0,0,0,0,413,1,1,Marsabit
1,0,0,0,0,0,0,282,7,0,Kiambu
0,1,1,0,0,0,0,19,5,1,Nairobi
0,0,0,0,0,0,0,0,0,0,Elegeyo-Marakwet
0,0,0,0,0,0,0,1,0,0,Murang'A
0,0,0,0,0,0,0,1790,2,0,Homa Bay
0,0,0,0,0,0,0,47,1,0,Embu
1,0,0,0,0,0,0,4,0,0,Murang'A
1,0,0,0,1,0,0,287,0,0,Machakos
1,0,0,0,0,0,0,1,1,1,Meru
0,0,0,0,0,0,0,0,0,0,Kitui
0,0,0,0,0,0,0,0,0,0,Turkana
4,0,0,0,0,0,0,118,4,4,West Pokot
0,0,0,0,0,0,0,5,0,0,Kericho
0,0,0,0,0,0,0,1614,0,0,Bomet
0,0,0,0,0,0,0,1,0,0,Nandi
0,0,0,0,0,0,0,1,0,0,Nandi
0,0,0,0,0,0,0,0,1,0,Trans Nzoia
0,0,0,0,0,0,0,0,0,0,Elegeyo-Marakwet
0,0,0,0,0,0,0,1,0,0,Elegeyo-Marakwet
0,0,0,0,0,0,0,225,0,0,Nandi
3,0,0,0,0,0,0,932,5,2,Nyeri
0,0,0,0,0,0,0,0,0,0,Migori
0,0,0,0,0,0,0,543,0,0,Nakuru
1,0,0,0,0,0,0,0,5,0,Machakos
0,0,0,0,0,0,0,0,0,0,Turkana
0,0,0,0,0,0,0,0,0,0,Kitui
0,0,0,0,0,0,0,0,0,0,Kitui
1,4,0,0,0,0,0,18571,17,2,Nairobi
0,0,0,0,0,0,0,16,0,0,Migori
0,0,0,0,0,0,0,1154,0,0,Homa Bay
1,0,0,0,0,0,0,2883,5,0,Homa Bay
9,12,7,2,0,1,0,1493,9,10,Nairobi
0,0,0,0,0,0,0,360,2,0,Kajiado
1,0,0,0,0,0,0,18,0,0,Kisii
2,0,0,1,0,0,0,389,5,1,Kericho
2,0,0,1,0,0,0,424,6,1,Kericho
1,0,0,0,0,0,0,189,0,1,Kirinyaga
0,0,0,0,0,0,0,6,0,0,Kirinyaga
0,0,0,0,0,0,0,0,0,0,Kisii
1,0,0,0,0,0,0,967,2,0,Wajir
0,0,0,0,0,0,0,0,0,0,Busia
7,0,0,0,0,0,0,94,6,6,Kiambu
0,0,0,0,0,0,0,0,0,0,Embu
0,0,0,0,0,0,0,496,0,0,Kirinyaga
0,0,0,0,0,0,0,0,0,0,Meru
0,0,0,0,0,0,0,0,0,0,Tharaka - Nithi
0,0,0,0,0,0,0,1371,1,0,Makueni
0,0,0,0,0,0,0,7,2,1,Mombasa
0,0,0,0,0,0,0,8,1,0,Murang'A
1,0,0,0,0,0,0,541,14,6,Kiambu
2,0,0,0,0,0,0,259,6,1,Kiambu
0,0,0,0,0,0,0,1,0,0,Nyamira
0,0,0,0,0,0,0,35,3,0,Makueni
1,0,0,0,0,0,1,580,11,0,Kiambu
2,0,2,0,0,0,0,3342,2,2,Kilifi
0,0,0,0,0,0,0,184,6,0,Makueni
0,0,0,0,0,0,0,41,2,1,Vihiga
1,0,0,0,0,0,0,0,0,0,Kirinyaga
1,0,0,0,0,0,0,402,1,0,Bungoma
1,0,0,0,0,0,0,1,3,1,Trans Nzoia
0,0,0,0,0,0,0,296,4,0,Kwale
0,0,0,0,0,0,0,0,0,0,Meru
0,0,0,0,0,0,0,32,0,0,Kericho
0,0,0,0,0,0,0,7,0,0,Kericho
1,0,0,0,0,0,0,5,0,0,Murang'A
0,0,0,0,0,0,0,871,0,0,Murang'A
0,0,0,0,0,0,0,383,0,0,Makueni
0,0,0,0,0,0,0,726,0,0,Homa Bay
8,0,2,0,0,0,0,1673,6,2,Kisii
8,2,5,0,0,1,0,2490,15,14,Kisumu
3,0,0,0,0,0,0,131,4,7,Trans Nzoia
0,1,0,0,0,0,0,80,2,4,Trans Nzoia
0,0,0,0,0,0,0,687,2,1,Kitui
0,0,0,0,0,0,0,0,0,0,Elegeyo-Marakwet
1,0,0,0,0,0,0,1939,0,0,Kisumu
0,0,0,0,0,0,0,1052,0,0,Migori
0,0,0,0,0,0,0,293,4,0,Kwale
0,0,0,0,0,0,0,0,0,0,Trans Nzoia
0,0,0,0,0,0,0,25,2,0,Kitui
11,15,17,0,0,1,0,4560,77,34,Nairobi
1,0,0,0,0,0,0,198,3,4,Mombasa
0,0,0,0,0,0,0,0,0,0,Mandera
0,0,0,0,0,0,0,0,0,0,Lamu
2,0,1,0,0,0,0,2551,13,8,Nairobi
1,0,1,0,0,0,0,1803,4,1,Wajir
0,0,0,0,0,0,0,79,1,0,Narok
0,0,0,0,0,0,0,0,0,0,Kisii
3,0,2,0,0,0,0,959,16,9,Mombasa
1,0,0,0,0,0,0,5343,2,1,Nakuru
1,1,0,0,0,0,0,2383,17,8,Mombasa
0,0,0,0,0,0,0,0,0,0,Kakamega
0,0,0,0,0,0,0,34,0,0,Uasin Gishu
1,0,0,0,0,0,0,3454,36,3,Nairobi
2,0,0,0,0,0,0,3500,9,10,Turkana
1,0,0,0,0,0,0,72,0,0,Kajiado
0,0,0,0,0,0,0,53,0,1,Turkana
0,0,0,0,0,0,0,275,0,0,Narok
1,0,0,0,0,0,0,175,0,0,Kericho
0,0,0,0,0,0,0,253,0,1,Bomet
0,0,0,0,0,0,0,2610,0,1,Turkana
0,0,0,0,0,0,0,591,0,0,Turkana
0,0,0,0,0,0,0,96,4,0,Bungoma
0,0,0,0,0,0,0,0,0,0,Kakamega
3,0,2,0,0,0,0,199,7,6,Bungoma
0,0,0,0,0,0,0,19,0,0,Migori
1,0,0,0,0,0,0,305,11,6,Machakos
0,0,0,0,0,0,0,831,0,0,Siaya
1,0,0,0,0,0,0,214,0,0,Kajiado
1,0,0,0,0,0,0,1,3,1,Tharaka - Nithi
1,0,0,0,0,0,0,532,0,1,Makueni
7,2,1,0,0,0,0,1473,22,20,Makueni
1,0,0,0,0,0,0,592,0,0,Kakamega
1,1,0,0,0,0,0,4174,0,4,Kilifi
2,0,0,0,0,0,0,13613,5,6,Nairobi
1,0,0,0,0,0,0,7249,1,3,Mandera
0,0,0,0,0,0,0,2,0,0,Nyamira
1,0,0,0,0,0,0,727,1,0,Kakamega
1,0,0,0,0,0,0,259,0,0,Murang'A
2,0,1,0,0,0,0,258,0,2,Samburu
0,0,0,0,0,0,0,0,0,0,Kisii
0,0,0,0,0,0,0,9786,1,2,Kajiado
0,0,0,0,0,0,0,9,0,1,Kilifi
6,7,0,0,0,0,0,2953,18,6,Baringo
0,0,0,0,0,0,0,1253,0,0,Homa Bay
1,0,0,0,0,0,0,1349,1,3,Marsabit
0,0,0,0,0,0,0,0,1,0,Kiambu
0,0,0,0,0,0,0,1125,2,1,Nyeri
0,0,0,0,0,0,0,0,0,0,Nyamira
2,0,0,0,0,0,0,955,2,0,Kisumu
1,1,0,0,0,0,0,1029,1,0,Kisumu
1,0,0,0,0,0,0,31,0,0,Kisii
0,0,0,0,0,0,0,0,0,0,Machakos
0,0,0,0,0,0,0,2005,0,0,Kisumu
1,0,0,0,0,0,0,2228,4,2,Isiolo
18,32,36,2,0,0,0,5879,161,77,Nairobi
0,0,0,0,0,0,0,193,0,0,Makueni
0,0,0,0,0,0,0,10,0,0,Kakamega
0,0,0,0,0,0,0,980,0,0,Kakamega
0,0,0,0,0,0,0,231,0,0,Machakos
0,0,0,0,0,0,0,208,2,1,Meru
0,0,0,0,0,0,0,0,0,0,Kakamega
16,13,14,1,0,2,0,3737,79,54,Nairobi
0,0,0,0,0,0,0,92,3,0,Embu
0,0,0,0,0,0,0,0,0,0,Meru
1,2,0,0,0,0,0,1780,1,1,Homa Bay
0,0,0,0,0,0,0,894,13,4,Makueni
3,0,0,0,0,0,0,285,0,0,Uasin Gishu
2,0,0,0,0,0,0,2342,4,6,Nakuru
2,0,0,0,0,0,0,6801,9,7,Garissa
0,0,0,0,0,0,0,4464,4,1,Garissa
0,1,31,0,0,1,0,10359,90,102,Nairobi
9,0,0,0,0,0,0,2916,13,9,Baringo
7,0,0,0,0,0,0,147,6,6,Kiambu
5,1,1,0,0,0,0,4551,20,18,Nairobi
0,0,0,0,0,0,0,12,3,4,Kajiado
1,0,0,0,0,0,0,235,1,2,Meru
0,0,0,0,0,0,0,472,0,0,Nandi
2,3,0,0,0,0,0,6731,21,13,Nairobi
1,0,2,0,0,0,0,326,6,12,Mombasa
0,0,0,0,0,0,0,0,0,0,Meru
1,1,0,0,0,0,0,4335,0,2,Migori
0,0,0,0,0,0,0,0,0,0,Kitui
0,0,0,0,0,0,0,14,0,0,Meru
0,0,0,0,0,0,0,0,1,0,Meru
0,2,7,0,0,0,0,5257,19,21,Kisumu
0,0,0,0,0,0,0,1203,0,0,Kisumu
0,0,0,0,0,0,0,0,0,0,Meru
2,0,0,0,0,0,0,1312,1,0,Garissa
2,0,0,0,0,0,0,6338,15,8,Nairobi
2,1,0,0,0,0,0,1108,10,1,Taita Taveta
11,0,0,0,0,1,0,1145,4,5,Uasin Gishu
1,0,5,0,0,0,0,4501,2,19,Nakuru
2,0,3,0,0,0,0,519,4,12,Mombasa
0,1,0,0,0,0,0,1155,1,0,Mombasa
0,0,0,0,0,0,0,0,0,0,Kajiado
1,0,0,0,0,0,0,640,1,1,Marsabit
7,4,6,0,0,0,0,3431,28,26,Nairobi
0,0,0,0,0,0,0,1279,0,0,Lamu
0,0,0,0,0,0,0,886,0,0,Kwale
0,0,0,0,0,0,0,0,2,0,Bungoma
3,0,0,0,0,0,0,101,4,5,Trans Nzoia
1,0,0,0,0,0,0,2657,1,0,Nyeri
2,0,0,0,0,0,0,6191,1,4,Nakuru
0,0,0,0,0,0,0,988,0,1,Makueni
0,0,0,0,0,0,0,1441,0,0,Kisumu
1,0,0,0,0,0,0,712,2,0,Migori
1,0,0,0,0,0,0,1457,3,0,Kakamega
0,0,0,0,0,0,0,1381,1,0,Nyeri
5,8,13,0,0,1,0,427,0,0,Murang'A
0,0,0,0,0,0,0,620,0,0,Murang'A
0,0,0,0,0,0,0,0,0,0,Kitui
0,0,0,0,0,0,0,0,0,0,Meru
1,0,0,0,0,0,0,134,1,0,Kitui
0,0,0,0,0,0,0,0,0,0,Kitui
0,0,0,0,0,0,0,0,0,0,Meru
0,0,0,0,0,0,0,0,0,0,Meru
0,0,0,0,0,0,0,6,3,0,Machakos
1,0,0,0,0,0,0,1256,7,1,Taita Taveta
0,0,0,0,0,0,0,0,0,0,Kirinyaga
0,0,0,0,0,0,0,1116,0,0,Kakamega
3,0,0,0,0,0,0,68,6,0,Kitui
0,0,0,0,0,0,0,152,8,2,Kiambu
11,14,8,2,0,2,0,2414,7,16,Nairobi
11,4,5,0,0,0,0,5539,33,22,Nairobi
10,1,1,0,0,0,0,4256,25,19,Nairobi
0,0,0,0,0,0,0,9923,2,1,Kajiado
0,0,0,0,0,0,0,2296,0,0,Nakuru
9,5,6,0,0,1,0,3556,10,12,Nairobi
16,14,16,0,0,2,0,4213,40,31,Nairobi
0,0,0,0,0,0,0,0,0,0,Bungoma
2,0,0,0,0,0,0,6058,1,5,Nakuru
1,0,2,0,0,0,0,2161,1,2,Nakuru
4,0,3,0,0,0,0,2691,4,2,Nakuru
0,0,0,0,0,0,0,443,0,0,Nandi
0,0,0,0,0,0,0,478,3,0,Laikipia
1,1,0,0,0,0,0,171,1,2,Laikipia
0,0,0,0,0,0,0,167,0,0,Narok
2,0,1,0,0,0,0,3755,1,4,Narok
4,2,3,0,0,0,0,3683,16,6,Nairobi
1,0,0,0,0,0,0,1152,1,0,Kakamega
0,0,0,0,0,0,0,469,0,1,Kiambu
1,0,0,0,0,0,0,699,12,1,Kiambu
0,0,0,0,0,0,0,2426,2,0,Homa Bay
0,0,0,0,0,0,0,305,0,0,Kisii
2,0,0,0,0,0,0,1562,3,3,Mombasa
1,0,0,0,0,0,0,712,1,0,Tana River
1,0,0,0,0,0,0,159,17,41,Kajiado
1,0,0,0,0,0,0,324,20,45,Kajiado
8,9,26,0,0,0,0,8447,38,33,Kisumu
0,0,0,0,0,0,0,68,0,0,Nyandarua
0,0,0,0,0,0,0,1789,0,0,Migori
0,0,0,0,0,0,0,0,0,0,Kitui
1,0,0,0,0,0,0,2098,3,2,Kisumu
