building,amenity,amenity:school,amenity:hospital,amenity:restaurant,amenity:cafe,shop,tourism,tourism:hotel,tourism:museum,leisure,leisure:park,historic,amenity:place_of_worship,County
8161,27,6,0,3,0,5,2,2,0,0,0,0,1,Kajiado
4577,28,4,0,5,0,2,1,1,0,1,0,0,2,Nairobi
1354,3,3,0,0,0,0,0,0,0,0,0,0,0,Nyeri
5526,55,18,10,0,0,2,5,4,0,7,0,0,5,Homa Bay
1802,452,9,4,74,17,48,50,22,4,38,3,11,18,Nairobi
84,1,0,0,0,0,2,0,0,0,1,0,0,0,Kirinyaga
10,19,4,0,0,0,3,2,1,0,0,0,0,1,Mombasa
551,1,0,0,0,0,0,0,0,0,0,0,0,0,Kiambu
10,2,1,0,0,0,0,0,0,0,0,0,0,1,Meru
14812,127,27,3,1,0,8,1,1,0,8,0,0,23,Nairobi
5427,39,6,1,1,0,3,7,7,0,1,0,0,5,Garissa
4563,19,4,1,2,1,4,4,3,0,1,0,0,0,Nakuru
4,3,0,0,0,0,3,0,0,0,0,0,0,0,Nyandarua
2132,1,0,0,0,0,2,0,0,0,1,0,0,0,Nakuru
193,35,1,0,2,1,10,7,6,1,5,3,0,1,Meru
0,1,1,0,0,0,0,0,0,0,0,0,0,0,Nyandarua
190,0,0,0,0,0,0,0,0,0,0,0,0,0,Murang'A
4273,4,1,0,0,0,0,0,0,0,1,0,0,1,Nakuru
855,40,3,3,2,1,2,3,3,0,1,0,0,3,Nyeri
840,0,0,0,0,0,0,0,0,0,0,0,0,0,Nyeri
9083,138,14,13,3,4,98,35,14,0,5,2,0,12,Wajir
3591,15,4,0,2,0,0,0,0,0,0,0,0,0,Kiambu
64,25,6,3,3,1,1,1,1,0,1,0,0,0,Kitui
86,4,0,0,0,0,0,1,1,0,0,0,0,2,Meru
570,1,1,0,0,0,0,0,0,0,0,0,0,0,Nyeri
10425,107,12,11,2,4,60,35,14,0,6,2,0,13,Wajir
524,14,4,0,2,0,0,0,0,0,2,0,0,0,Machakos
1943,4,0,0,0,0,0,0,0,0,0,0,0,0,Nakuru
815,11,1,0,0,0,2,0,0,0,0,0,0,1,Nyeri
103,13,1,1,3,0,5,7,3,0,0,0,0,1,Marsabit
290,0,0,0,0,0,0,0,0,0,0,0,0,0,Nyeri
9972,40,7,0,4,0,8,0,0,0,0,0,0,2,Kajiado
1576,89,16,1,7,4,20,21,14,0,20,2,0,13,Mombasa
4495,43,5,1,10,0,12,5,3,0,2,0,0,4,Nairobi
1223,56,11,3,4,2,9,23,15,0,5,0,1,8,Laikipia
557,48,4,0,8,4,12,18,15,0,7,2,0,2,Laikipia
6129,94,15,5,2,1,35,6,1,0,13,5,1,7,Nairobi
3507,69,16,7,2,0,32,13,9,0,10,5,0,3,Nairobi
364,44,3,3,3,0,11,5,5,0,4,0,0,7,Kajiado
4915,46,5,0,2,2,15,1,1,0,2,1,0,11,Nairobi
9,5,0,0,2,0,0,0,0,0,0,0,0,0,Bungoma
3597,200,34,8,33,6,39,22,13,0,53,2,0,20,Nairobi
163,5,3,0,0,0,0,0,0,0,0,0,0,0,Kiambu
2501,357,22,7,16,6,312,45,28,1,36,5,1,15,Kisumu
535,125,9,3,14,5,20,19,7,0,36,3,5,10,Mombasa
129,48,1,2,8,0,18,8,6,1,2,0,0,6,Trans Nzoia
381,30,4,2,7,1,5,4,3,0,3,3,0,1,Kericho
292,63,4,1,6,0,12,9,7,0,6,1,0,7,Embu
9511,109,15,3,3,0,10,3,3,0,9,0,0,15,Nairobi
6268,639,57,9,17,6,44,18,8,0,20,4,0,44,Nairobi
3975,49,1,2,10,0,12,16,12,0,2,0,0,5,Nakuru
77,59,6,7,6,0,16,1,1,0,3,0,0,5,Kiambu
1817,77,17,3,4,1,6,7,7,0,6,0,1,12,Machakos
519,0,0,0,0,0,0,0,0,0,0,0,0,0,Nyeri
8161,27,6,0,3,0,5,2,2,0,0,0,0,1,Kajiado
673,0,0,0,0,0,0,0,0,0,0,0,0,0,Kisii
3396,111,12,2,9,1,20,11,9,0,12,3,1,4,Nakuru
2,1,0,0,0,0,0,0,0,0,0,0,0,1,Murang'A
1345,0,0,0,0,0,0,0,0,0,0,0,0,0,Homa Bay
2046,1,0,0,0,0,0,0,0,0,0,0,0,0,Nakuru
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Migori
5,3,0,0,0,0,0,0,0,0,0,0,0,0,Busia
304,59,5,1,4,0,11,4,0,0,1,0,0,3,Kiambu
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vihiga
333,0,0,0,0,0,0,0,0,0,0,0,0,0,Kisumu
1217,1,1,0,0,0,0,0,0,0,0,0,0,0,Nyeri
236,23,5,0,0,0,0,0,0,0,2,0,0,0,Kiambu
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kilifi
4240,31,1,1,0,0,20,3,2,0,2,0,0,0,Kisumu
4255,31,1,1,0,0,20,3,2,0,2,0,0,0,Kisumu
834,44,1,3,6,1,13,5,2,0,8,0,1,1,Mombasa
2548,9,3,1,1,0,0,1,0,0,0,0,0,0,Kakamega
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Trans Nzoia
4741,13,4,1,0,0,0,1,1,0,0,0,0,3,Isiolo
1892,64,10,5,0,2,20,12,8,1,1,0,0,3,Baringo
676,0,0,0,0,0,0,0,0,0,0,0,0,0,Murang'A
110,2,1,1,0,0,0,0,0,0,0,0,0,0,Makueni
911,9,0,1,1,1,1,1,1,0,0,0,0,0,Kericho
989,9,0,1,1,1,1,1,1,0,0,0,0,0,Kericho
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Makueni
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Murang'A
6279,8,1,0,0,0,6,4,1,0,0,0,0,0,Nakuru
3837,750,199,28,7,5,107,2,0,0,83,0,0,43,Nairobi
128,5,3,1,0,0,0,0,0,0,0,0,0,0,Kitui
3311,182,28,7,45,2,41,22,9,0,61,1,0,17,Nairobi
5517,1669,192,18,4,0,90,6,5,0,54,3,0,93,Nairobi
9287,199,45,4,2,0,40,0,0,0,15,1,0,50,Nairobi
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Meru
5,0,0,0,0,0,0,0,0,0,0,0,0,0,Uasin Gishu
514,0,0,0,0,0,0,0,0,0,0,0,0,0,Nakuru
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kericho
3,0,0,0,0,0,0,0,0,0,0,0,0,0,Nyandarua
229,39,6,1,7,1,9,5,4,1,1,0,0,5,Machakos
1440,0,0,0,0,0,0,0,0,0,0,0,0,0,Kirinyaga
3255,41,6,0,0,0,8,1,1,0,0,0,0,9,Kisumu
876,57,15,1,3,2,21,5,1,0,2,0,0,10,Mombasa
819,13,1,1,3,0,0,7,3,0,0,0,0,1,Marsabit
0,0,0,0,0,0,0,1,1,0,0,0,0,0,Kajiado
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Baringo
7,5,2,0,1,0,0,0,0,0,1,0,0,0,Kajiado
511,4,2,0,0,0,0,0,0,0,1,0,0,1,Wajir
123,51,3,2,8,0,18,8,6,1,1,0,0,6,Trans Nzoia
14,0,0,0,0,0,0,0,0,0,0,0,0,0,Meru
1399,1,0,0,0,0,0,1,1,0,0,0,0,0,Homa Bay
274,0,0,0,0,0,0,0,0,0,0,0,0,0,Siaya
8096,26,1,1,1,0,1,4,0,0,8,1,0,0,Mombasa
1011,0,0,0,0,0,0,0,0,0,0,0,0,0,Narok
4821,22,2,0,4,0,8,2,1,0,1,0,0,1,Turkana
0,6,0,0,0,0,0,0,0,0,0,0,0,0,Busia
2202,0,0,0,0,0,0,0,0,0,0,0,0,0,Migori
0,3,0,0,0,0,0,0,0,0,0,0,0,0,Busia
30,0,0,0,0,0,0,0,0,0,0,0,0,0,Baringo
225,57,4,1,3,0,11,4,0,0,2,0,0,3,Kiambu
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Baringo
7119,59,17,5,0,1,24,15,5,0,2,0,0,10,Wajir
10764,104,12,11,2,4,59,35,14,0,6,2,0,13,Wajir
9046,136,12,14,3,4,97,35,14,0,6,2,0,12,Wajir
9056,138,14,13,3,4,98,36,15,0,4,2,0,12,Wajir
7691,25,8,2,0,0,5,0,0,0,2,0,0,7,Garissa
7316,844,121,14,4,0,54,9,7,0,35,6,0,53,Nairobi
252,17,0,2,1,0,5,6,4,0,1,0,0,2,Samburu
399,157,5,3,22,5,47,41,31,0,14,3,3,14,Mombasa
859,124,16,3,6,4,24,28,20,0,16,2,0,16,Mombasa
5076,12,2,0,0,1,1,1,0,0,1,0,0,1,Garissa
3428,309,22,8,10,3,260,41,27,1,45,4,0,27,Kisumu
3936,0,0,0,0,0,0,1,0,0,0,0,0,0,Garissa
2147,99,23,3,4,1,32,8,4,0,3,0,0,12,Mombasa
1638,99,19,1,7,4,20,23,16,0,25,2,0,13,Mombasa
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Turkana
397,2,0,0,0,0,0,0,0,0,0,0,0,0,West Pokot
162,0,0,0,0,0,0,0,0,0,0,0,0,0,West Pokot
2142,41,0,0,8,3,14,9,5,1,2,0,0,6,Kilifi
6526,16,2,1,1,0,0,3,2,0,1,0,0,2,Mandera
6041,19,7,0,0,0,2,0,0,0,1,0,0,6,Garissa
152,12,1,0,3,0,5,7,3,0,0,0,0,1,Marsabit
463,121,4,2,19,4,21,33,19,0,7,1,0,17,Mombasa
2866,106,26,2,4,1,39,8,3,0,5,0,0,14,Mombasa
429,0,0,0,0,0,0,0,0,0,2,0,0,0,Nandi
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nyamira
4542,45,9,3,5,0,5,11,9,0,4,0,0,3,Isiolo
6693,1193,154,21,5,0,67,8,7,0,40,4,0,69,Nairobi
4304,141,14,1,1,2,3,4,0,0,3,0,0,2,Garissa
5083,13,2,0,0,1,1,1,0,0,1,0,0,2,Garissa
1101,110,17,3,7,7,21,24,17,0,28,2,0,13,Mombasa
9617,107,12,11,3,3,77,37,14,0,7,2,0,12,Wajir
11456,513,81,0,1,0,23,1,0,0,3,0,0,98,Nairobi
6020,71,20,4,2,6,58,30,18,0,10,2,1,8,Nakuru
3997,28,7,4,1,0,1,0,0,0,0,0,0,6,Wajir
10425,107,12,11,2,4,60,35,14,0,6,2,0,13,Wajir
9956,127,15,13,3,4,99,35,14,0,8,2,0,13,Wajir
4245,26,6,4,1,0,1,0,0,0,0,0,0,6,Wajir
16614,887,79,29,5,0,39,4,3,0,8,0,0,56,Nairobi
430,23,4,3,0,0,6,0,0,0,0,0,0,3,Kiambu
38,18,5,0,0,0,0,0,0,0,0,0,0,2,Kiambu
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Garissa
8048,42,10,3,2,1,37,3,3,0,3,0,0,7,Wajir
892,0,0,0,0,0,0,0,0,0,0,0,0,0,Garissa
1396,103,10,2,31,3,25,4,3,0,14,1,0,10,Nairobi
1,0,0,0,0,0,0,0,0,0,0,0,0,0,Murang'A
678,5,2,0,0,0,0,0,0,0,0,0,0,0,Kakamega
4,7,1,0,2,0,0,1,1,0,0,0,0,0,Vihiga
3764,70,14,7,2,0,32,11,9,0,8,4,0,3,Nairobi
7156,32,8,1,1,0,7,7,7,0,2,0,0,6,Garissa
76,11,0,0,1,0,1,1,0,0,0,0,0,0,Kirinyaga
10151,110,11,13,3,4,69,35,14,0,6,2,0,12,Wajir
1089,2,0,0,0,0,0,1,1,0,0,0,0,0,Siaya
7683,24,6,1,0,0,5,6,6,0,2,0,0,5,Garissa
6888,10,1,0,0,0,0,1,1,0,1,0,2,1,Meru
2939,50,10,0,5,1,9,7,5,0,18,2,0,9,Mombasa
5847,15,4,1,0,0,3,0,0,0,0,0,0,1,Garissa
10425,107,12,11,2,4,60,35,14,0,6,2,0,13,Wajir
7624,12,3,0,1,0,0,2,1,0,1,0,0,2,Mandera
7693,24,8,2,0,0,5,0,0,0,2,0,0,7,Garissa
6594,16,2,1,1,0,4,3,3,0,3,2,0,1,Migori
134,49,1,3,8,0,18,8,6,1,2,0,0,7,Trans Nzoia
1066,1,1,0,0,0,0,0,0,0,0,0,0,0,Nyeri
6,10,2,0,2,0,0,1,1,0,0,0,0,1,Vihiga
259,17,0,2,1,0,5,6,4,0,1,0,0,2,Samburu
966,0,0,0,0,0,0,0,0,0,0,0,0,0,Makueni
2956,73,20,9,4,1,14,2,0,0,2,1,0,9,Baringo
105,5,2,0,0,0,0,0,0,0,0,0,0,1,Kajiado
2,19,4,2,2,0,5,0,0,0,0,0,0,4,Machakos
2775,560,13,1,84,16,107,60,40,5,24,13,13,10,Nairobi
0,3,0,0,1,0,0,0,0,0,0,0,0,0,Bungoma
2877,53,6,2,2,2,8,5,1,1,3,0,0,6,Kakamega
4403,117,13,1,1,2,2,1,0,0,2,0,0,3,Garissa
7897,18,4,1,1,0,0,3,2,0,1,0,0,2,Mandera
324,0,0,0,0,0,0,0,0,0,0,0,0,0,Homa Bay
609,0,0,0,0,0,0,0,0,0,0,0,0,0,Siaya
12,8,0,0,0,0,0,0,0,0,0,0,0,0,Busia
2501,25,2,0,2,0,3,0,0,0,2,0,0,1,Kiambu
6892,12,3,0,1,0,0,2,1,0,1,0,0,2,Mandera
77,6,0,0,1,0,0,1,1,0,0,0,0,0,Busia
